ID,FC.avg,p.value,is.DEP,log2FC,FDR,C61,C62,C63,C64,C91,C92,C93,C94
AT5G46730,2.17234848484848,0.0020422407217624,True,1.11925555665737,0.00750361947549848,296,219,296,336,169,114,151,94
AT5G46780,0.579062957540263,0.011199301074396,True,-0.788207883817299,0.0368633349419692,351,332,392,507,719,860,543,610
Q9FJR1,125,0.0139900637109556,True,6.96578428466209,0.0450368846062914,64,79,58,174,0,3,0,0
Q9LTC0,0.5,0.000290623060117179,True,-1,0.00111842382182801,51,52,34,40,97,78,88,91
AT5G47240,0.412307692307692,0.0038394288374981,True,-1.27820671745804,0.0137027615448292,83,51,123,145,216,300,196,263
Q41916,2.10106382978723,0.000217948676832336,True,1.07111999138683,0.000841392401761069,98,103,89,105,53,46,57,32
AT5G47635,1.69180327868852,0.0105432487526345,True,0.758561822973006,0.034878129647848,136,152,92,136,71,64,94,76
AT5G47640,0.604123711340206,0.00259711269144591,True,-0.727084082652242,0.00944409626770536,226,262,367,317,479,465,444,552
AT5G47800,0.576988155668359,0.00340103951946613,True,-0.79338639115336,0.0122106691832703,84,79,89,89,183,148,120,140
AT5G47830,1.81208053691275,0.00458765183929133,True,0.857647076588669,0.016179323450108,224,197,154,235,101,138,92,116
Q9FIJ4,1.5,0.00303961273102327,True,0.584962500721156,0.0109693713282409,403,407,362,460,290,289,297,212
Q9FI31,0.357214934409687,0.00111768820592051,True,-1.48513569710349,0.00419111670255537,108,90,56,100,281,270,266,174
AT5G48250,0.409181636726547,0.000295569012991992,True,-1.28918669368976,0.00113720219237862,72,40,44,49,129,134,105,133
AT5G48330,1.83102493074792,0.00077238486404263,True,0.872651434620521,0.00292381507146488,192,156,142,171,96,102,85,78
Q9LK79,∞,0.00542395034130871,True,∞,0.0189318853498288,2,5,2,3,0,0,0,0
