fromNode,toNode,value,interaction_type,selfLoop,label,guid
Q41975,Q9FGN8,1,,False,,1431
Q41975,F4KBY8,1,,False,,1432
Q41975,Q9FHN4,1,,False,,1433
Q41975,Q9FJ90,1,,False,,1434
Q41975,Q9LTJ6,1,,False,,1435
Q41975,Q9FHC8,1,,False,,1436
Q41975,P27323,1,,False,,1437
Q41975,Q6NQN5,1,,False,,1438
Q41975,Q9FK12,1,,False,,1439
Q9C6K0,Q41975,1,,False,,144
Q41975,Q9FN34,1,,False,,1440
Q41975,Q9FL70,1,,False,,1441
Q41975,Q6NLH4,1,,False,,1442
Q41975,Q8GYV1,1,,False,,1443
Q41975,F4K1T9,1,,False,,1444
Q41975,Q9FE63,1,,False,,1445
Q41975,Q9LU77,1,,False,,1446
Q41975,Q8GWP9,1,,False,,1447
Q41975,Q9FGT7,1,,False,,1448
Q41975,Q94AT2,1,,False,,1449
Q56W21,Q03250,1,,False,,145
Q41975,Q9FIF5,1,,False,,1450
Q41975,Q9LTH2,1,,False,,1451
Q41975,A0A1P8BH47,1,,False,,1452
Q41975,Q9LVG8,1,,False,,1453
Q41975,Q9LVG4,1,,False,,1454
Q41975,Q9LST3,1,,False,,1455
Q41975,Q38876,1,,False,,1456
Q41975,Q9FLK4,1,,False,,1457
Q41975,Q9FKH0,1,,False,,1458
Q41975,AT5G09020,1,,False,,1459
Q9C684,Q03250,1,,False,,146
Q41975,A0A1P8BG95,1,,False,,1460
Q41975,F4K529,1,,False,,1461
Q41975,Q9FIS1,1,,False,,1462
Q41975,Q9FM20,1,,False,,1463
Q41975,AT5G09125,1,,False,,1464
Q41975,Q9FFQ7,1,,False,,1465
Q41975,Q8VYI9,1,,False,,1466
Q41975,A8MQN2,1,,False,,1467
Q41975,Q9FMG6,1,,False,,1468
Q41975,Q9FGF1,1,,False,,1469
Q9C684,Q41975,1,,False,,147
Q41975,Q93WU9,1,,False,,1470
Q41975,Q9LV88,1,,False,,1471
Q41975,Q9LV80,1,,False,,1472
Q41975,Q37001,1,,False,,1473
Q41975,Q9FKY4,1,,False,,1474
Q41975,Q67ZW1,1,,False,,1475
Q41975,Q9FKW8,1,,False,,1476
Q41975,Q9FJZ3,1,,False,,1477
Q41975,Q9FL02,1,,False,,1478
Q41975,AT3G01045,1,,False,,1479
Q9C8J1,Q41975,1,,False,,148
Q41975,Q9S839,1,,False,,1480
Q41975,Q96305,1,,False,,1481
Q41975,Q9M880,1,,False,,1482
Q41975,Q9SCW5,1,,False,,1483
Q41975,F4J3L8,1,,False,,1484
Q41975,Q6S491,1,,False,,1485
Q41975,AT3G01635,1,,False,,1486
Q41975,Q9M9W9,1,,False,,1487
Q41975,AT3G06962,1,,False,,1488
Q41975,Q9SSE5,1,,False,,1489
Q9C8J4,Q41975,1,,False,,149
Q41975,Q9S7W4,1,,False,,1490
Q41975,O65719,1,,False,,1491
Q41975,Q1PER6,1,,False,,1492
Q41975,Q39256,1,,False,,1493
Q41975,B3H7G1,1,,False,,1494
Q41975,F4J2K4,1,,False,,1495
Q41975,A0A384L851,1,,False,,1496
Q41975,O82133,1,,False,,1497
Q41975,Q9CAY6,1,,False,,1498
Q41975,Q9LJF1,1,,False,,1499
Q9LR44,Q41975,1,,False,,15
Q9C8K5,Q03250,1,,False,,150
Q41975,Q66GI2,1,,False,,1500
Q41975,Q9LUE0,1,,False,,1501
Q41975,A0A384L6K0,1,,False,,1502
Q41975,Q9LW80,1,,False,,1503
Q41975,Q3EB59,1,,False,,1504
Q41975,Q9LU15,1,,False,,1505
Q41975,O04318,1,,False,,1506
Q41975,O04313,1,,False,,1507
Q41975,O04311,1,,False,,1508
Q41975,Q8RWC9,1,,False,,1509
AT1G07757,Q03250,1,,False,,151
Q41975,Q9LHN5,1,,False,,1510
Q41975,Q9LHN2,1,,False,,1511
Q41975,Q6PUA2,1,,False,,1512
Q41975,Q9LT67,1,,False,,1513
Q41975,Q9LJY7,1,,False,,1514
Q41975,A0A384KN90,1,,False,,1515
Q41975,Q8RWR1,1,,False,,1516
Q41975,A0A384KH04,1,,False,,1517
Q41975,F4IXJ9,1,,False,,1518
Q41975,Q9LVF4,1,,False,,1519
A0A1P8AP20,Q41975,1,,False,,152
Q41975,Q8LAX0,1,,False,,1520
Q41975,Q94ID1,1,,False,,1521
Q41975,AT3G04615,1,,False,,1522
Q41975,Q94K36,1,,False,,1523
Q41975,Q9LSG4,1,,False,,1524
Q41975,Q9LSF1,1,,False,,1525
Q41975,Q9LTL0,1,,False,,1526
Q41975,Q9LIM9,1,,False,,1527
Q41975,Q9LW27,1,,False,,1528
Q41975,Q9LI89,1,,False,,1529
AT1G07823,Q41975,1,,False,,153
Q41975,Q42431,1,,False,,1530
Q41975,Q9LH84,1,,False,,1531
Q41975,A0A384L5A7,1,,False,,1532
Q41975,Q9LHA1,1,,False,,1533
Q41975,A0MEZ2,1,,False,,1534
Q41975,A0A1I9LQX0,1,,False,,1535
Q41975,Q9LIA0,1,,False,,1536
Q41975,AT3G05955,1,,False,,1537
Q41975,P92983,1,,False,,1538
Q41975,Q9LHR4,1,,False,,1539
Q9SSR7,Q41975,1,,False,,154
Q41975,P32962,1,,False,,1540
Q41975,Q2V3R1,1,,False,,1541
Q41975,Q9M280,1,,False,,1542
Q41975,Q9M1V1,1,,False,,1543
Q41975,AT3G45638,1,,False,,1544
Q41975,F4J6S4,1,,False,,1545
Q41975,Q9LZU4,1,,False,,1546
Q41975,P19036,1,,False,,1547
Q41975,AT3G07365,1,,False,,1548
Q41975,A0A1I9LPN5,1,,False,,1549
A0A1P8AQT5,Q03250,1,,False,,155
Q41975,Q9SD62,1,,False,,1550
Q41975,Q9SN89,1,,False,,1551
Q41975,Q9STT7,1,,False,,1552
Q41975,Q8LPK0,1,,False,,1553
Q41975,Q9SMP6,1,,False,,1554
Q41975,Q9SCK2,1,,False,,1555
Q41975,Q9SCK1,1,,False,,1556
Q41975,A0A178VDD8,1,,False,,1557
Q41975,A0A384KU05,1,,False,,1558
Q41975,Q9M2R9,1,,False,,1559
F4IEM5,Q41975,1,,False,,156
Q41975,Q8LC79,1,,False,,1560
Q41975,Q9SV12,1,,False,,1561
Q41975,AT3G08215,1,,False,,1562
Q41975,AT3G08245,1,,False,,1563
