	class	0.1_0	0.2_0	0.07_0	0.5_0	0.7_0	1_0	0.05_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	0.02_0	Pfam_desc	cor
PF05709	+	0.000	0.000	0.000	0.000	0.051	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Phage tail protein	0.202
PF14200	+	0.000	0.000	0.000	0.000	0.025	0.077	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Ricin-type beta-trefoil lectin domain-like	0.190
PF06439	+	0.000	0.000	0.000	0.000	0.016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of Unknown Function (DUF1080)	0.175
PF00962	+	0.231	0.363	0.167	0.416	0.395	0.394	0.066	0.000	0.000	0.000	0.000	0.000	0.000	Adenosine/AMP deaminase	0.159
PF07994	+	0.273	0.353	0.019	0.399	0.459	0.443	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Myo-inositol-1-phosphate synthase	0.158
PF01658	+	0.000	0.211	0.011	0.574	0.637	0.625	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Myo-inositol-1-phosphate synthase	0.158
PF04465	+	0.000	0.000	0.000	0.001	0.000	0.614	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF499)	0.150
PF11716	-	0.000	0.000	0.000	-0.084	-0.155	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Mycothiol maleylpyruvate isomerase N-terminal domain	0.150
PF04993	+	0.000	0.058	0.000	0.127	0.125	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	TfoX N-terminal domain	0.124
PF01169	+	0.161	0.178	0.108	0.000	0.000	0.000	0.052	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterized protein family UPF0016	0.123
PF02674	+	0.000	0.000	0.000	0.049	0.009	0.137	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Colicin V production protein	0.122
PF08308	+	0.000	0.000	0.000	0.064	0.081	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	PEGA domain	0.120
PF09848	+	0.000	0.005	0.000	0.071	0.046	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Uncharacterized conserved protein (DUF2075)	0.112
PF10029	+	0.000	0.000	0.000	0.000	0.082	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Predicted periplasmic protein (DUF2271)	0.105
PF09563	+	0.000	0.000	0.000	0.192	0.271	0.374	0.000	0.000	0.000	0.000	0.000	0.000	0.000	LlaJI restriction endonuclease	0.097
PF03704	+	0.000	0.055	0.000	0.136	0.140	0.248	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Bacterial transcriptional activator domain	0.081
